code,name,sector
2222,أرامكو السعودية,الطاقة
2030,المصافي,الطاقة
2380,بترو رابغ,الطاقة
4030,البحري,الطاقة
2381,الحفر العربية,الطاقة
2382,أديس,الطاقة
1201,تكوين,المواد الأساسية
1202,مبكو,المواد الأساسية
1210,بي سي آي,المواد الأساسية
1211,معادن,المواد الأساسية
1301,أسلاك,المواد الأساسية
1304,اليمامة للحديد,المواد الأساسية
1320,أنابيب السعودية,المواد الأساسية
2001,كيمانول,المواد الأساسية
2010,سابك,المواد الأساسية
2020,سابك للمغذيات الزراعية,المواد الأساسية
2090,جبسكو,المواد الأساسية
2150,زجاج,المواد الأساسية
2170,اللجين,المواد الأساسية
2180,فيبكو,المواد الأساسية
2200,أنابيب,المواد الأساسية
2210,نماء للكيماويات,المواد الأساسية
2220,معدنية,المواد الأساسية
2240,صناعات,المواد الأساسية
2250,المجموعة السعودية,المواد الأساسية
2290,ينساب,المواد الأساسية
2300,صناعة الورق,المواد الأساسية
2310,سبكيم العالمية,المواد الأساسية
2330,المتقدمة,المواد الأساسية
2350,كيان السعودية,المواد الأساسية
3002,أسمنت نجران,المواد الأساسية
3003,أسمنت المدينة,المواد الأساسية
3004,أسمنت الشمالية,المواد الأساسية
3005,أسمنت أم القرى,المواد الأساسية
3010,أسمنت العربية,المواد الأساسية
3020,أسمنت اليمامة,المواد الأساسية
3030,أسمنت السعودية,المواد الأساسية
3040,أسمنت القصيم,المواد الأساسية
3050,أسمنت الجنوب,المواد الأساسية
3060,أسمنت ينبع,المواد الأساسية
3080,أسمنت الشرقية,المواد الأساسية
3090,أسمنت تبوك,المواد الأساسية
3091,أسمنت الجوف,المواد الأساسية
3092,أسمنت الرياض,المواد الأساسية
2060,التصنيع,المواد الأساسية
3008,الكثيري,المواد الأساسية
3007,الواحة,المواد الأساسية
1321,أنابيب الشرق,المواد الأساسية
1322,أماك,المواد الأساسية
2223,لوبريف,المواد الأساسية
1324,صالح الراشد,المواد الأساسية
2360,الفخارية,المواد الأساسية
1323,يو سي آي سي,المواد الأساسية
4143,تالكو,المواد الأساسية
1212,أسترا الصناعية,السلع الرأسمالية
4146,جاز,السلع الرأسمالية
1302,بوان,السلع الرأسمالية
1303,الصناعات الكهربائية,السلع الرأسمالية
4148,الوسائل الصناعية,السلع الرأسمالية
4145,أو جي سي,السلع الرأسمالية
2040,الخزف السعودي,السلع الرأسمالية
2110,الكابلات السعودية,السلع الرأسمالية
4144,رؤوم,السلع الرأسمالية
2160,أميانتيت,السلع الرأسمالية
2320,البابطين,السلع الرأسمالية
2370,مسك,السلع الرأسمالية
4140,صادرات,السلع الرأسمالية
4141,العمران,السلع الرأسمالية
4142,كابلات الرياض,السلع الرأسمالية
1214,شاكر,السلع الرأسمالية
4110,باتك,السلع الرأسمالية
4147,سي جي إس,السلع الرأسمالية
4270,طباعة وتغليف,الخدمات التجارية والمهنية
6004,كاتريون,الخدمات التجارية والمهنية
1832,صدر,الخدمات التجارية والمهنية
1831,مهارة,الخدمات التجارية والمهنية
1833,الموارد,الخدمات التجارية والمهنية
1834,سماسكو,الخدمات التجارية والمهنية
1835,تمكين,الخدمات التجارية والمهنية
4031,الخدمات الأرضية,النقل
4040,سابتكو,النقل
4260,بدجت السعودية,النقل
2190,سيسكو القابضة,النقل
4261,ذيب,النقل
4263,سال,النقل
4262,لومي,النقل
4265,شري,النقل
4264,طيران ناس,النقل
1213,نسيج,السلع طويلة الأجل
2130,صدق,السلع طويلة الأجل
2340,ارتيكس,السلع طويلة الأجل
4011,لازوردي,السلع طويلة الأجل
4180,مجموعة فتيحي,السلع طويلة الأجل
4012,الأصيل,السلع طويلة الأجل
1810,سيرا,الخدمات الاستهلاكية
6013,التطويرية الغذائية,الخدمات الاستهلاكية
1820,بان,الخدمات الاستهلاكية
4170,شمس,الخدمات الاستهلاكية
4290,الخليج للتدريب,الخدمات الاستهلاكية
6017,جاهز,الخدمات الاستهلاكية
6002,هرفي للأغذية,الخدمات الاستهلاكية
1830,لجام للرياضة,الخدمات الاستهلاكية
6012,ريدان,الخدمات الاستهلاكية
4291,الوطنية للتعليم,الخدمات الاستهلاكية
4292,عطاء,الخدمات الاستهلاكية
6014,الآمار,الخدمات الاستهلاكية
6015,أمريكانا,الخدمات الاستهلاكية
6016,برغرايززر,الخدمات الاستهلاكية
6018,الأندية للرياضة,الخدمات الاستهلاكية
6019,المسار الشامل,الخدمات الاستهلاكية
4070,تهامة,الإعلام والترفيه
4210,الأبحاث والإعلام,الإعلام والترفيه
4071,العربية,الإعلام والترفيه
4072,مجموعة إم بي سي,الإعلام والترفيه
4003,إكسترا,تجزئة السلع الكمالية
4008,ساكو,تجزئة السلع الكمالية
4050,ساسكو,تجزئة السلع الكمالية
4190,جرير,تجزئة السلع الكمالية
4240,سينومي ريتيل,تجزئة السلع الكمالية
4191,أبو معطي,تجزئة السلع الكمالية
4051,باعظيم,تجزئة السلع الكمالية
4192,السيف غاليري,تجزئة السلع الكمالية
4193,نايس ون,تجزئة السلع الكمالية
4194,محطة البناء,تجزئة السلع الكمالية
4200,الدريس,تجزئة السلع الكمالية
4001,أسواق ع العثيم,تجزئة السلع الاستهلاكية
4006,أسواق المزرعة,تجزئة السلع الاستهلاكية
4061,أنعام القابضة,تجزئة السلع الاستهلاكية
4160,ثمار,تجزئة السلع الاستهلاكية
4161,بن داود,تجزئة السلع الاستهلاكية
4162,المنجم,تجزئة السلع الاستهلاكية
4164,النهدي,تجزئة السلع الاستهلاكية
4163,الدواء,تجزئة السلع الاستهلاكية
2050,مجموعة صافولا,إنتاج الأغذية
2100,وفرة,إنتاج الأغذية
2270,سدافكو,إنتاج الأغذية
2280,المراعي,إنتاج الأغذية
6001,حلواني إخوان,إنتاج الأغذية
2288,نفوذ,إنتاج الأغذية
6010,نادك,إنتاج الأغذية
6020,جاكو,إنتاج الأغذية
6040,تبوك الزراعية,إنتاج الأغذية
6050,الأسماك,إنتاج الأغذية
6060,الشرقية للتنمية,إنتاج الأغذية
6070,الجوف,إنتاج الأغذية
6090,جازادكو,إنتاج الأغذية
2281,تنمية,إنتاج الأغذية
2282,نقي,إنتاج الأغذية
